totalneto,codagente,nomagente,codgrupo,codsubgrup,nomgrupo,nomsubgrup,codart,nomart,cantfact,cantdevol,cantneto
1098453.6,2,VENTAS DIRECTAS,0,0,,,MYT(EM-CO),MAQUILA (EMPAQUE Y CONGELACION),4081.68,0,4081.68
57030,2,VENTAS DIRECTAS,0,0,,,ETIQUETAS,IMPRESION DE ETIQUETAS,1901,0,1901
491265,1,VENTAS POR TERCERO,0,0,,,MAQMARLIN,SERVICIO MAQUILA MARLIN ROSADO,1091.7,0,1091.7
154580,2,VENTAS DIRECTAS,0,0,,,MAQUILABAS,MAQUILA BASICA (EMPAQUE+ETIQUETA),623.84,0,623.84
956000,2,VENTAS DIRECTAS,0,0,,,CAM0035,CAMARON FIDEL 500 GR,400,0,400
67070,2,VENTAS DIRECTAS,0,0,,,MYT(EM-ET),MAQUILA EMPAQUE Y ETIQUETADO,335,0,335
2615183.26,2,VENTAS DIRECTAS,0,0,,,CAM0028,,316,0,316
457250,2,VENTAS DIRECTAS,0,0,,,MA0012,MIX DE MARISCOS PRO 500 GR,295,0,295
221069.2,2,VENTAS DIRECTAS,0,0,,,FRC0020,FRESAS 1 K,54.2,0,54.2
83520,2,VENTAS DIRECTAS,0,0,,,EXPRESSNUTRI,SERVICIO EXPRESS ZANAHORIAS CR,35,0,35
54046,2,VENTAS DIRECTAS,0,0,,,MARISCESPE500,MARISCADA CALIDAD ESPECIAL 500 GR,31,0,31
164724,3,GEOVANNI LUNA,0,0,,,CAM0033,,27,0,27
80796.24,1,VENTAS POR TERCERO,0,0,,,CAMBRK,,18,0,18
118803.24,1,VENTAS POR TERCERO,0,0,,,CAMPRE 61/70,,18,0,18
35294.04,2,VENTAS DIRECTAS,0,0,,,FRC0026,MIX DE VEGETALES 1/2 KILO,18,0,18
28652,3,GEOVANNI LUNA,0,0,,,MARISCESP,MARISCADA CALIDAD ESPECIAL 1 KG,9,0,9
14905.5,2,VENTAS DIRECTAS,0,0,,,FRC00018,MANGO 1 K,4.75,0,4.75
12736.8,2,VENTAS DIRECTAS,0,0,,,FRC0019,PAPAYA 1 K,4.35,0,4.35
15442.5,3,GEOVANNI LUNA,0,0,,,LF0042,FILETE DE ESPADA 180-220 GR,4,0,4
9733.82,2,VENTAS DIRECTAS,0,0,,,FRC0015,PIÑA 1 K,3.65,0,3.65
18870,3,GEOVANNI LUNA,0,0,,,CAM0034,,3,0,3
19708,2,VENTAS DIRECTAS,0,0,,,VEGC0018,AGUACATE 1 K,3,0,3
2387.9725,2,VENTAS DIRECTAS,0,0,,,FRC0027,,0.125,0,0.125
264293.748,3,GEOVANNI LUNA,1,1,FILETES Y LOMOS,LOMO,LF0008,LOMO DE ATUN,29.436,0,29.436
193999.6275,2,VENTAS DIRECTAS,1,1,FILETES Y LOMOS,LOMO,LF0013,LOMO MARLIN BLANCO,23.515,0,23.515
17936.632,1,VENTAS POR TERCERO,1,1,FILETES Y LOMOS,LOMO,LF0015,LOMO PEZ ESPADA,4.76,0,4.76
