Vendedor,Precios
30,1432.18
35,1811.21
37,2432.79
16,2730.08
27,1359.92
40,2124.00
8,1472.75
11,1070.88
38,1938.28
16,81.13
6,1225.41
31,1086.57
40,195.25
7,1289.54
2,2479.34
28,1157.92
7,899.80
27,1274.55
33,1616.00
19,965.05
9,2979.04
4,502.64
14,2221.66
24,101.36
19,1608.77
35,878.77
20,168.72
16,2108.69
28,1739.80
6,111.51
18,1449.16
24,2239.30
14,2824.18
17,470.79
40,1999.95
37,2213.03
6,2866.69
15,1534.58
8,2689.09
24,409.36
27,121.78
3,2560.54
23,397.08
9,1624.57
28,1941.10
31,363.43
25,893.86
34,664.45
7,134.32
5,292.68
0,2363.35
19,2671.43
33,296.03
2,1257.48
6,1239.12
28,946.20
36,1642.37
14,1487.00
12,1648.98
24,1011.22
29,1576.56
37,2697.20
10,184.52
3,1345.51
37,461.71
4,1851.36
4,38.49
32,2198.81
22,2840.94
17,2248.25
27,1831.36
35,362.86
26,999.27
38,2681.93
9,1726.25
9,242.12
17,619.37
33,2481.88
36,1873.58
6,1712.90
1,1249.95
27,2186.04
34,2298.50
21,212.53
35,1252.19
16,1324.19
14,2488.96
33,2937.28
22,2180.49
25,1580.73
7,2973.62
9,2195.66
29,2921.34
26,578.66
35,462.54
10,1528.30
3,1231.53
15,187.15
12,2920.73
15,209.85
13,968.45
30,319.87
3,1143.83
24,132.93
9,2687.66
0,2804.85
21,814.00
32,1787.03
11,1967.65
2,709.29
31,773.73
21,2964.40
5,1029.27
18,633.88
12,2367.47
23,889.23
6,99.47
1,732.46
31,2663.72
9,1690.30
0,2204.61
7,2204.17
17,1584.67
17,1029.72
33,2618.44
2,2346.22
25,2555.40
7,707.74
2,181.47
18,1928.39
3,2065.09
11,1846.79
3,1051.26
7,2781.54
6,1643.79
4,954.93
24,1045.01
35,1669.83
28,2228.41
4,2743.48
3,1187.15
0,1490.59
0,2888.20
16,950.99
10,2074.54
19,1017.33
10,2723.40
27,1334.59
19,1731.78
23,421.57
34,1344.21
23,42.55
19,1321.67
1,2472.30
14,1012.76
2,2122.23
29,1853.20
7,2885.69
14,2631.73
16,1711.50
8,1467.28
2,1398.17
20,1.16
35,1254.51
34,800.63
7,1988.13
26,1112.90
24,1352.04
25,764.24
37,1884.26
27,1274.36
17,2974.73
32,2617.76
3,1591.62
27,2385.38
13,2512.98
13,2614.57
6,1010.71
13,2817.88
28,2321.17
12,378.01
12,1618.67
23,1906.98
5,587.15
39,1073.41
0,1417.94
36,57.22
3,857.43
28,2030.78
14,2755.63
4,2210.97
1,161.90
14,2579.15
18,1875.26
35,491.71
38,2272.77
9,92.56
30,984.48
13,586.93
29,2741.77
40,2832.08
11,1339.38
39,1643.12
39,143.38
28,893.21
30,1094.56
2,850.42
8,1795.89
34,1922.38
15,936.07
32,184.79
25,1069.38
16,2232.90
9,814.87
7,1143.62
37,185.72
16,1100.76
5,1108.18
0,725.04
31,490.36
17,2613.38
14,1558.60
30,1105.80
3,2448.95
0,715.02
23,2533.60
20,1912.51
13,802.40
22,1442.45
7,2544.80
28,1123.37
6,133.57
23,1028.14
22,1616.73
26,1255.60
9,1518.82
29,1546.92
28,1141.82
38,88.04
15,1964.04
8,259.35
8,1805.07
24,328.89
21,1148.31
12,2015.36
12,803.31
21,39.50
35,2318.60
34,2379.21
25,1559.63
5,2418.39
18,1476.67
29,1131.58
33,2011.14
9,943.01
38,2182.40
31,1804.92
2,2665.45
19,1812.69
27,1409.37
34,1283.00
35,2569.44
32,2320.74
29,1596.99
38,2524.42
32,343.30
19,896.72
33,825.20
0,2549.95
15,1102.90
5,2195.35
6,307.23
19,2713.99
29,130.44
34,1734.55
38,1401.32
28,1638.88
10,186.31
27,492.12
14,531.47
8,2600.62
27,1460.43
4,1358.24
24,680.32
2,1996.61
16,104.35
20,2663.51
17,1711.57
31,1560.77
36,2987.23
6,519.59
4,1875.71
13,2917.33
24,437.82
11,2727.37
39,1730.06
27,913.26
1,1210.55
40,2521.66
39,878.04
13,1186.87
31,2651.19
19,1505.60
9,2615.16
38,1156.02
36,1696.75
26,2663.81
27,1368.79
2,942.91
37,758.68
36,1214.66
37,2743.58
5,1637.38
16,1421.09
18,238.21
13,2081.22
12,1034.48
26,1917.62
28,2427.23
1,2091.87
37,1239.82
